id,wave,niche,app,seller,storefront,first_name,email,subject_file,status,sent_at,reply,notes
A01,personalized,heat-pump,ProWarm,The Underfloor Heating Store Ltd,gb,,,personalized/01-prowarm.md,draft,,,
A02,personalized,balcony-solar,RoofSnoop,iRenewables Limited,gb,,,personalized/02-roofsnoop.md,draft,,,
A03,personalized,balcony-solar,Sun Tracker: SunQuest,Apextens,gb,,,personalized/03-sunquest.md,draft,,,
A04,personalized,balcony-solar,Renogy,Renogy Suzhou Co. Ltd.,gb,,,personalized/04-renogy.md,draft,,,
A05,personalized,balcony-solar,SolisCloud,Ginlong Technologies,gb,,,personalized/05-soliscloud.md,draft,,,
A06,personalized,invoice-freelancer,Invoice 2go,Invoice2Go LLC,gb,,,personalized/06-invoice2go.md,draft,,,
A07,personalized,invoice-freelancer,Invoice Maker Simple App 2 go,Invoice Generator s.r.o.,gb,,,personalized/07-invoice-simple.md,draft,,,
A08,personalized,invoice-freelancer,Invoice Fly,Labhouse Mobile SL,gb,,,personalized/08-invoice-fly.md,draft,,,
A09,personalized,habit-tracker,Structured,unorderly GmbH,nl,,,personalized/09-structured.md,draft,,,
A10,personalized,habit-tracker,Stop voorgoed met roken - Kwit,KWIT,nl,,,personalized/10-kwit.md,draft,,,
A11,personalized,public-transport,London & UK Live Bus Countdown,Mobicia Limited,gb,,,personalized/11-mobicia.md,draft,,,
A12,personalized,public-transport,Tube Map,Mapway Inc.,gb,,,personalized/12-mapway.md,draft,,,
A13,personalized,cycling-navigation,komoot,komoot GmbH,nl,,,personalized/13-komoot.md,draft,,,
A14,personalized,cycling-navigation,Fietsnetwerk,Efita B.V.,nl,,,personalized/14-fietsnetwerk.md,draft,,,
A15,personalized,repair-cafe,RepairBuddy - AI Fix,DIJITAL ELMA,gb,,,personalized/15-repairbuddy.md,draft,,,
A16,personalized,rag-chatbot,Talk AI,Going Merry LLC,gb,,,personalized/16-talk-ai.md,draft,,,
A17,personalized,rag-chatbot,Chatbot AI Assistant Genie,APPNATION,gb,,,personalized/17-genie.md,draft,,,
A18,personalized,energy-tracker,My Utilita,Utilita Energy Limited,gb,,,personalized/18-utilita.md,draft,,,
A19,personalized,energy-tracker,Dyme,Dyme B.V.,nl,,,personalized/19-dyme.md,draft,,,
A20,personalized,budget-tracking,MoneySavingExpert,MoneySavingExpert.com,gb,,,personalized/20-mse.md,draft,,,
B01,semi,balcony-solar,,,,,,semi/balcony-solar.md,todo,,,
B02,semi,balcony-solar,,,,,,semi/balcony-solar.md,todo,,,
B03,semi,balcony-solar,,,,,,semi/balcony-solar.md,todo,,,
B04,semi,balcony-solar,,,,,,semi/balcony-solar.md,todo,,,
B05,semi,balcony-solar,,,,,,semi/balcony-solar.md,todo,,,
B06,semi,balcony-solar,,,,,,semi/balcony-solar.md,todo,,,
B07,semi,balcony-solar,,,,,,semi/balcony-solar.md,todo,,,
B08,semi,balcony-solar,,,,,,semi/balcony-solar.md,todo,,,
B09,semi,heat-pump,,,,,,semi/heat-pump.md,todo,,,
B10,semi,heat-pump,,,,,,semi/heat-pump.md,todo,,,
B11,semi,heat-pump,,,,,,semi/heat-pump.md,todo,,,
B12,semi,heat-pump,,,,,,semi/heat-pump.md,todo,,,
B13,semi,heat-pump,,,,,,semi/heat-pump.md,todo,,,
B14,semi,heat-pump,,,,,,semi/heat-pump.md,todo,,,
B15,semi,heat-pump,,,,,,semi/heat-pump.md,todo,,,
B16,semi,heat-pump,,,,,,semi/heat-pump.md,todo,,,
B17,semi,invoice-freelancer,,,,,,semi/invoice-freelancer.md,todo,,,
B18,semi,invoice-freelancer,,,,,,semi/invoice-freelancer.md,todo,,,
B19,semi,invoice-freelancer,,,,,,semi/invoice-freelancer.md,todo,,,
B20,semi,invoice-freelancer,,,,,,semi/invoice-freelancer.md,todo,,,
B21,semi,invoice-freelancer,,,,,,semi/invoice-freelancer.md,todo,,,
B22,semi,invoice-freelancer,,,,,,semi/invoice-freelancer.md,todo,,,
B23,semi,invoice-freelancer,,,,,,semi/invoice-freelancer.md,todo,,,
B24,semi,invoice-freelancer,,,,,,semi/invoice-freelancer.md,todo,,,
B25,semi,habit-tracker,,,,,,semi/habit-tracker.md,todo,,,
B26,semi,habit-tracker,,,,,,semi/habit-tracker.md,todo,,,
B27,semi,habit-tracker,,,,,,semi/habit-tracker.md,todo,,,
B28,semi,habit-tracker,,,,,,semi/habit-tracker.md,todo,,,
B29,semi,habit-tracker,,,,,,semi/habit-tracker.md,todo,,,
B30,semi,habit-tracker,,,,,,semi/habit-tracker.md,todo,,,
B31,semi,habit-tracker,,,,,,semi/habit-tracker.md,todo,,,
B32,semi,habit-tracker,,,,,,semi/habit-tracker.md,todo,,,
B33,semi,rag-chatbot,,,,,,semi/rag-chatbot.md,todo,,,
B34,semi,rag-chatbot,,,,,,semi/rag-chatbot.md,todo,,,
B35,semi,rag-chatbot,,,,,,semi/rag-chatbot.md,todo,,,
B36,semi,rag-chatbot,,,,,,semi/rag-chatbot.md,todo,,,
B37,semi,rag-chatbot,,,,,,semi/rag-chatbot.md,todo,,,
B38,semi,rag-chatbot,,,,,,semi/rag-chatbot.md,todo,,,
B39,semi,rag-chatbot,,,,,,semi/rag-chatbot.md,todo,,,
B40,semi,rag-chatbot,,,,,,semi/rag-chatbot.md,todo,,,
